gene_name,ct_marker_evidence_blood,ct_marker_evidence_bone_marrow,ct_marker_evidence_heart,ct_marker_evidence_kidney,ct_marker_evidence_liver,ct_marker_evidence_lung,ct_marker_evidence_lymph_node
AFF1,,0.0,0.0,0.0,0.0,0.0,
AFF2,1.0,0.0,0.0,0.0,,0.0,
AFF3,1.0,1.0,1.0,0.0,0.0,0.0,0.0
AFF4,,,,,0.0,0.0,0.0
AFG3L2,,,0.0,,,,
AFM,,,,0.0,0.0,,
AFMID,0.0,,,0.0,0.0,0.0,0.0
AFP,,,,1.0,,,
AFTPH,,0.0,,,,0.0,
AGA,,0.0,,,,,
AGAP1,0.0,,0.0,0.0,0.0,0.0,1.0
AGAP2,,0.0,0.0,1.0,,,0.0
AGAP2-AS1,,,,,,,0.0
AGAP3,,0.0,,0.0,,,0.0
AGAP4,0.0,0.0,,,,,
AGAP5,,,,,,,0.0
AGBL2,,,,,,0.0,
AGBL3,,,,0.0,,,
AGBL4,,,1.0,0.0,0.0,0.0,
AGBL5,,0.0,,0.0,,0.0,
AGER,,0.0,,,0.0,0.0,0.0
AGFG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGFG2,,,,,0.0,,0.0
AGGF1,,,,,0.0,,0.0
AGK,0.0,0.0,,,0.0,0.0,
AGL,,0.0,,,0.0,,
AGMAT,0.0,0.0,,0.0,,,0.0
AGMO,,,0.0,0.0,0.0,,
AGO1,,0.0,,0.0,,,
AGO2,0.0,0.0,,0.0,0.0,,
AGO3,,,,,0.0,,0.0
AGO4,0.0,0.0,,,0.0,0.0,0.0
AGPAT1,0.0,,,,0.0,,
AGPAT2,0.0,0.0,0.0,0.0,0.0,,0.0
AGPAT3,0.0,,,0.0,0.0,,
AGPAT4,0.0,0.0,0.0,0.0,0.0,,0.0
AGPAT5,0.0,0.0,,0.0,,0.0,0.0
AGPS,,0.0,,0.0,,0.0,0.0
AGR2,,,,0.0,0.0,0.0,
AGR3,,,,0.0,1.0,1.0,
AGRN,,,,0.0,0.0,0.0,0.0
AGRP,,,,,,0.0,
AGT,,,1.0,0.0,0.0,1.0,
AGTPBP1,0.0,0.0,,0.0,,0.0,0.0
AGTR1,,,,0.0,0.0,0.0,0.0
AGTRAP,0.0,0.0,,0.0,0.0,,0.0
AGXT,,,,0.0,0.0,,
AGXT2,,,,0.0,0.0,,
AHCTF1,,0.0,,,0.0,,
AHCY,0.0,0.0,,0.0,,0.0,
